"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","4 - May 21-26, 2020","119194889","1517262","48.1","0.6","247876591","249,170,916"
" -> States","","","","","","","--"
"Alabama","4 - May 21-26, 2020","1493111","130017","40.3","3.5","3707458","3,717,378"
"Alaska","4 - May 21-26, 2020","238877","19092","45.6","3.7","523287","524,925"
"Arizona","4 - May 21-26, 2020","2602019","197779","46.7","3.6","5573646","5,597,268"
"Arkansas","4 - May 21-26, 2020","837085","75039","37.4","3.4","2236259","2,246,527"
"California","4 - May 21-26, 2020","16713654","675106","56","2.3","29864101","29,939,021"
"Colorado","4 - May 21-26, 2020","1971937","157170","44.5","3.5","4431086","4,454,718"
"Connecticut","4 - May 21-26, 2020","1272063","91766","46.7","3.4","2722064","2,732,423"
"Delaware","4 - May 21-26, 2020","377678","33687","50.2","4.5","751991","754,637"
"District of Columbia","4 - May 21-26, 2020","200279","26625","36.9","4.9","542343","542,635"
"Florida","4 - May 21-26, 2020","8672522","463438","50.9","2.7","17036428","17,085,385"
"Georgia","4 - May 21-26, 2020","3614105","271756","46.6","3.6","7752247","7,955,983"
"Hawaii","4 - May 21-26, 2020","598790","45593","56","4.3","1069498","1,073,229"
"Idaho","4 - May 21-26, 2020","453608","48763","34","3.7","1335670","1,343,198"
"Illinois","4 - May 21-26, 2020","4569968","267301","48","2.8","9528303","9,546,424"
"Indiana","4 - May 21-26, 2020","2364057","163252","47.2","3.3","5011174","5,015,550"
"Iowa","4 - May 21-26, 2020","855703","74657","36.5","3.2","2342092","2,342,905"
"Kansas","4 - May 21-26, 2020","865204","84610","40.5","3.9","2135957","2,140,957"
"Kentucky","4 - May 21-26, 2020","1392986","143815","41.8","4.3","3329399","3,344,102"
"Louisiana","4 - May 21-26, 2020","1744055","134003","51.3","3.9","3400631","3,431,432"
"Maine","4 - May 21-26, 2020","491483","35837","46.2","3.4","1063507","1,065,620"
"Maryland","4 - May 21-26, 2020","1957350","120969","43.3","2.7","4523187","4,586,920"
"Massachusetts","4 - May 21-26, 2020","2385498","168390","45.1","3.2","5284012","5,324,065"
"Michigan","4 - May 21-26, 2020","4308659","245150","56.7","3.2","7604180","7,644,458"
